UserID,GroupID,AppID,PermissionName,PermissionType,PermissionSize,Decision
dd,2,Fortune Cookies,user_email,Required,26.875,Denied
dd,2,Fortune Cookies,user_birthday,Required,26.875,Denied
dd,2,Fortune Cookies,user_events,Required,26.875,Denied
dd,2,Fortune Cookies,user_likes,Required,26.875,Allowed
dd,2,Fortune Cookies,user_location,Required,26.875,Allowed
dd,2,Fortune Cookies,user_relationships,Required,26.875,Denied
dd,2,Fortune Cookies,user_checkins,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_likes,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_birthday,Required,26.875,Allowed
dd,2,Fortune Cookies,user_status,Required,26.875,Denied
dd,2,Fortune Cookies,friends_location,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_photos,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_status,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_events,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_checkins,Required,26.875,Allowed
dd,2,Fortune Cookies,friends_work_history,Required,26.875,Allowed
dd,2,Fortune Cookies,publish_actions,Extended,26.875,Allowed
dd,2,Fortune Cookies,read_stream,Extended,26.875,Allowed
dd,2,Fortune Cookies,user_friendlists,Extended,26.875,Allowed
www,1,Fortune Cookies,user_location,Required,30,Denied
www,1,Fortune Cookies,user_likes,Required,23.75,Allowed
www,1,Fortune Cookies,user_email,Required,23.75,Allowed
www,1,Fortune Cookies,user_photos,Required,30,Allowed
www,1,Fortune Cookies,user_events,Required,23.75,Allowed
www,1,Fortune Cookies,user_birthday,Required,23.75,Allowed
www,1,Fortune Cookies,user_status,Required,30,Allowed
www,1,Fortune Cookies,user_relationships,Required,23.75,Allowed
www,1,Fortune Cookies,user_checkins,Required,30,Allowed
www,1,Fortune Cookies,friends_likes,Required,23.75,Allowed
www,1,Fortune Cookies,friends_birthday,Required,23.75,Allowed
www,1,Fortune Cookies,friends_location,Required,30,Allowed
www,1,Fortune Cookies,friends_photos,Required,30,Allowed
www,1,Fortune Cookies,friends_status,Required,30,Allowed
www,1,Fortune Cookies,friends_work_history,Required,23.75,Allowed
www,1,Fortune Cookies,friends_checkins,Required,30,Allowed
www,1,Fortune Cookies,friends_events,Required,23.75,Allowed
www,1,Fortune Cookies,read_stream,Extended,30,Denied
www,1,Fortune Cookies,publish_actions,Extended,30,Denied
www,1,Fortune Cookies,user_friendlists,Extended,30,Denied
rr,2,Fortune Cookies,user_likes,Required,26.875,Allowed
rr,2,Fortune Cookies,user_location,Required,26.875,Allowed
rr,2,Fortune Cookies,user_birthday,Required,26.875,Allowed
rr,2,Fortune Cookies,user_events,Required,26.875,Allowed
rr,2,Fortune Cookies,user_photos,Required,26.875,Allowed
rr,2,Fortune Cookies,user_email,Required,26.875,Allowed
rr,2,Fortune Cookies,user_relationships,Required,26.875,Allowed
rr,2,Fortune Cookies,user_status,Required,26.875,Allowed
rr,2,Fortune Cookies,user_checkins,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_birthday,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_likes,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_location,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_photos,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_status,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_work_history,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_checkins,Required,26.875,Allowed
rr,2,Fortune Cookies,friends_events,Required,26.875,Allowed
rr,2,Fortune Cookies,read_stream,Extended,26.875,Allowed
rr,2,Fortune Cookies,publish_actions,Extended,26.875,Allowed
rr,2,Fortune Cookies,user_friendlists,Extended,26.875,Allowed
rr,3,Fortune Cookies,user_email,Required,23.75,Allowed
rr,3,Fortune Cookies,user_location,Required,30,Allowed
rr,3,Fortune Cookies,user_events,Required,23.75,Allowed
rr,3,Fortune Cookies,user_birthday,Required,23.75,Allowed
rr,3,Fortune Cookies,user_likes,Required,23.75,Allowed
rr,3,Fortune Cookies,user_photos,Required,30,Allowed
rr,3,Fortune Cookies,user_relationships,Required,23.75,Allowed
rr,3,Fortune Cookies,user_status,Required,30,Allowed
rr,3,Fortune Cookies,user_checkins,Required,30,Denied
rr,3,Fortune Cookies,friends_birthday,Required,23.75,Allowed
rr,3,Fortune Cookies,friends_likes,Required,23.75,Allowed
rr,3,Fortune Cookies,friends_location,Required,30,Allowed
rr,3,Fortune Cookies,friends_photos,Required,30,Allowed
rr,3,Fortune Cookies,friends_status,Required,30,Allowed
rr,3,Fortune Cookies,friends_work_history,Required,23.75,Allowed
rr,3,Fortune Cookies,friends_checkins,Required,30,Allowed
rr,3,Fortune Cookies,friends_events,Required,23.75,Allowed
rr,3,Fortune Cookies,read_stream,Extended,30,Allowed
rr,3,Fortune Cookies,publish_actions,Extended,30,Allowed
rr,3,Fortune Cookies,user_friendlists,Extended,30,Allowed
